timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672319871260,937,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,934,0,808
1672319870836,1361,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,1358,0,1232
1672319872199,94,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,94,0,0
1672319872199,96,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,96,0,0
1672319872295,121,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,121,0,0
1672319872294,122,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,122,0,0
1672319872417,100,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3079,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,100,0,0
1672319872417,103,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3079,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,103,0,0
1672319872517,101,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,101,0,0
1672319872520,100,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,100,0,0
1672319872618,99,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319872620,98,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,98,0,0
1672319872718,114,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,114,0,0
1672319872719,113,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,113,0,0
1672319872832,102,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,102,0,0
1672319872832,103,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,103,0,0
1672319872935,98,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,98,0,0
1672319872935,98,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,98,0,0
